,Province/State,Confirmed
02/28/2020,TLAXCALA,1
02/29/2020,CIUDAD DE MÉXICO,1
02/29/2020,SINALOA,1
02/29/2020,SONORA,1
02/29/2020,TLAXCALA,1
03/01/2020,CIUDAD DE MÉXICO,1
03/01/2020,SINALOA,1
03/01/2020,SONORA,1
03/01/2020,TLAXCALA,1
03/01/2020,VERACRUZ,1
03/02/2020,CIUDAD DE MÉXICO,1
03/02/2020,SINALOA,1
03/02/2020,SONORA,1
03/02/2020,TLAXCALA,1
03/02/2020,VERACRUZ,1
03/03/2020,CIUDAD DE MÉXICO,1
03/03/2020,SINALOA,1
03/03/2020,SONORA,1
03/03/2020,TLAXCALA,1
03/03/2020,VERACRUZ,1
03/04/2020,CIUDAD DE MÉXICO,1
03/04/2020,SINALOA,1
03/04/2020,SONORA,1
03/04/2020,TLAXCALA,1
03/04/2020,VERACRUZ,1
03/05/2020,CIUDAD DE MÉXICO,1
03/05/2020,SINALOA,1
03/05/2020,SONORA,1
03/05/2020,TLAXCALA,1
03/05/2020,VERACRUZ,1
03/06/2020,CIUDAD DE MÉXICO,2
03/06/2020,SINALOA,1
03/06/2020,SONORA,1
03/06/2020,TLAXCALA,1
03/06/2020,VERACRUZ,1
03/07/2020,CIUDAD DE MÉXICO,2
03/07/2020,SINALOA,1
03/07/2020,SONORA,1
03/07/2020,TLAXCALA,1
03/07/2020,VERACRUZ,1
03/08/2020,AGUASCALIENTES,1
03/08/2020,CIUDAD DE MÉXICO,2
03/08/2020,SINALOA,1
03/08/2020,SONORA,1
03/08/2020,TLAXCALA,1
03/08/2020,VERACRUZ,1
03/09/2020,AGUASCALIENTES,1
03/09/2020,CIUDAD DE MÉXICO,2
03/09/2020,SINALOA,1
03/09/2020,SONORA,1
03/09/2020,TLAXCALA,1
03/09/2020,VERACRUZ,1
03/10/2020,AGUASCALIENTES,1
03/10/2020,CIUDAD DE MÉXICO,2
03/10/2020,SINALOA,1
03/10/2020,SONORA,1
03/10/2020,TLAXCALA,1
03/10/2020,VERACRUZ,1
03/11/2020,AGUASCALIENTES,1
03/11/2020,CIUDAD DE MÉXICO,2
03/11/2020,JALISCO,1
03/11/2020,SINALOA,1
03/11/2020,SONORA,1
03/11/2020,TLAXCALA,1
03/11/2020,VERACRUZ,1
03/12/2020,AGUASCALIENTES,2
03/12/2020,CIUDAD DE MÉXICO,2
03/12/2020,JALISCO,2
03/12/2020,SINALOA,1
03/12/2020,SONORA,2
03/12/2020,TLAXCALA,1
03/12/2020,VERACRUZ,2
03/13/2020,AGUASCALIENTES,2
03/13/2020,CIUDAD DE MÉXICO,2
03/13/2020,JALISCO,2
03/13/2020,SINALOA,1
03/13/2020,SONORA,2
03/13/2020,TLAXCALA,1
03/13/2020,VERACRUZ,2
03/14/2020,AGUASCALIENTES,2
03/14/2020,CIUDAD DE MÉXICO,3
03/14/2020,HIDALGO,2
03/14/2020,JALISCO,7
03/14/2020,NUEVO LEÓN,1
03/14/2020,PUEBLA,1
03/14/2020,SINALOA,1
03/14/2020,SONORA,3
03/14/2020,TLAXCALA,1
03/14/2020,VERACRUZ,5
03/15/2020,AGUASCALIENTES,2
03/15/2020,CIUDAD DE MÉXICO,3
03/15/2020,HIDALGO,4
03/15/2020,JALISCO,11
03/15/2020,NUEVO LEÓN,1
03/15/2020,PUEBLA,3
03/15/2020,SINALOA,1
03/15/2020,SONORA,5
03/15/2020,TLAXCALA,1
03/15/2020,VERACRUZ,10
03/16/2020,AGUASCALIENTES,2
03/16/2020,CIUDAD DE MÉXICO,6
03/16/2020,GUANAJUATO,1
03/16/2020,HIDALGO,6
03/16/2020,JALISCO,12
03/16/2020,NUEVO LEÓN,1
03/16/2020,PUEBLA,3
03/16/2020,SAN LUIS POTOSÍ,1
03/16/2020,SINALOA,1
03/16/2020,SONORA,8
03/16/2020,TLAXCALA,1
03/16/2020,VERACRUZ,11
03/17/2020,AGUASCALIENTES,2
03/17/2020,BAJA CALIFORNIA,6
03/17/2020,CIUDAD DE MÉXICO,14
03/17/2020,GUANAJUATO,3
03/17/2020,HIDALGO,7
03/17/2020,JALISCO,15
03/17/2020,NAYARIT,1
03/17/2020,NUEVO LEÓN,1
03/17/2020,PUEBLA,3
03/17/2020,SAN LUIS POTOSÍ,1
03/17/2020,SINALOA,1
03/17/2020,SONORA,8
03/17/2020,TABASCO,5
03/17/2020,TLAXCALA,3
03/17/2020,VERACRUZ,12
03/18/2020,AGUASCALIENTES,2
03/18/2020,BAJA CALIFORNIA,6
03/18/2020,CIUDAD DE MÉXICO,18
03/18/2020,GUANAJUATO,3
03/18/2020,HIDALGO,8
03/18/2020,JALISCO,18
03/18/2020,NAYARIT,1
03/18/2020,NUEVO LEÓN,1
